サブプロット,階層,種名,DK1999,被度2006,被度2012,被度2018,被度2025,DK2006
1,B2,オオカメノキ,0,1,0.5,0.5,0.1,1
1,B2,オオシラビソ,4,5,0.5,1,0.8,4
1,B2,オオバスノキ,4,6,4,4,2.5,4
1,B2,オガラバナ,0,0.5,0.5,0.5,0,0.5
1,B2,ダケカンバ,0,0,0,0,0.1,0
1,B2,ヒメウスノキ,0,0.5,0.5,0.2,0.6,0.5
1,B2,ミネカエデ,5,10,20,10,4,5
1,B2,ムラサキヤシオツツジ,0,0.5,0.5,0.5,1,0.5
1,C,イワカガミ,0.5,0.5,0.5,0.1,0.3,0.5
1,C,イワナシ,0.5,0.5,0.5,0.1,0.1,0
1,C,キソチドリ,0.5,0,0,0,0,0.5
1,C,ゴゼンタチバナ,4,1,3,1.5,2.2,1
1,C,シノブカグマ,0.5,0.5,0.5,0.5,0.1,0.5
1,C,ショウジョウバカマ,2,2,0.5,0.5,0.8,2
1,C,タケシマラン,0,0,0,0,0.4,0
1,C,チゴユリ,1,0,0.5,0.1,0.1,0
1,C,ツマトリソウ,0.5,0,0.5,0.1,0,0
1,C,ツルリンドウ,0.5,1,0.5,0.1,0.2,1
1,C,ヒメタケシマラン,0,0.5,0.5,0.2,0,0.5
1,C,マイヅルソウ,1,0,0.5,0.2,0.1,0
1,C,ミズバショウ,5,10,10,15,12,5
1,C,ミツバオウレン,0.5,0.5,0.5,0.1,0.3,0.5
1,C,ミヤマカンスゲ,5,8,3,7,4.5,4
1,C,ヤマソテツ,3,2,3,3,4.4,2
1,S,チシマザサ,9,100,70,80,80,0
2,B2,オオカメノキ,2,0,0.5,1,1,10
2,B2,オオシラビソ,4,8,35,5,1.6,0
2,B2,オオバスノキ,3,2,0.5,4,5.8,4
2,B2,オガラバナ,2,2,0.5,0,1,2
2,B2,クロウスゴ,0.5,0,0.5,0.5,0.4,2
2,B2,ナナカマド,0,0,0,0.5,0,0
2,B2,ヒメウスノキ,0,0,0,0,0.8,0
2,B2,ミネカエデ,0,0,0,1,2.6,0
2,C,イワカガミ,0.5,0,0.5,0.1,0.4,0
2,C,イワナシ,0,0.5,0.5,0.1,0.1,0.5
2,C,オオバショリマ,0,0,0,0,0.2,0
2,C,コガネイチゴ,0,0,0,0,0.1,0
2,C,ゴゼンタチバナ,1,0,0.5,0.2,0.2,0
2,C,サンカヨウ,0,0,0.5,0,0,0
2,C,シノブカグマ,0,0,0.5,0.1,0.3,0
2,C,ショウジョウバカマ,1,1,0.5,0.1,0.8,0
2,C,タケシマラン,0,0,0,0,0.4,0
2,C,チゴユリ,0.5,0,0.5,0.1,0,1
2,C,ツマトリソウ,0,0,0.5,0.1,0.2,0
2,C,ツルリンドウ,0.5,1,0.5,0.1,0.2,0
